枫——羁绊剧情 3
枫: 让我想朝那个目标努力。

枫: 我想说，只要我努力，再努力，我也能像前辈们一样成为一个完美淑女。

枫: ……

枫: ……但是，我错了。

枫: 我明明做了很多努力，却老是这样……

枫: 成了大家眼中的怪人，又到处闯祸……

枫: ……我好像，一点都没改变。

枫: 像我这种小孩，不管再怎么努力……

枫: 果然都没办法变得，像前辈们一样。

老师: 没有那回事唷。

枫: ……老师？

<选择>
1. 老师: 就连我也能非常清楚，

枫: ……？

2. 老师: 枫一直都很努力。

枫: ……？

</选择>

<选择>
3. 老师: 当然，你有时候会像今天这样犯错。

枫: …………

4. 老师: 但任何人都有可能犯错。

枫: …………

</选择>

<选择>
5. 老师: 所以没关系。

枫: 成长……

6. 老师: 因为你一定有照著你自己的步调，逐渐成长。

枫: 成长……

</选择>

老师: 要是你觉得累了，可以去找你的前辈，或者也可以来找我。

枫: ……真的可以吗？

老师: 因为我是枫的老师呀。

枫: ……

枫: ………这样啊。

枫: 嗯，我知道了！

枫: 就是啊，老师说的没错！

枫: 嗯～突然完全搞不懂自己会什么要那么钻牛角尖了！

枫: 锵锵～勇美枫，完全复活！

枫: 谢谢老师。就算步调缓慢，我也会努力下去的！

枫: 请老师在一旁看著我。

<选择>
7. 老师: 我当然会在一旁看著啰……

枫: 啊！我都忘记了！

8. 老师: ……不过在那之前，能帮我一起打扫办公室吗？

枫: 啊！我都忘记了！

</选择>

枫: 好！为了成为完美淑女，首先我要努力打扫！

旁白: （就这样，我和枫聊了比平常更多，并一起在夏莱做了大扫除）

旁白: （隔天……）

<选择>
9. 老师: 总，总算惊险结束了……

10. 老师: ……不知道枫过的还好吗。

</选择>

枫: 老师！紧急状况！！

老师: 枫！？怎么了！？

枫: 那个呀，那个呀……！

枫: 听说百鬼夜行的飞鼠森林，出现了大量的赫克力士长戟大兜虫！

老师: ……什么东西？

枫: 没时间慢吞吞了！要赶快带著捕虫网，昆虫盒，相机……！

枫: 啊，还要带些饮料补充水分。

枫: 好了，准备完成！完美！

枫: 老师我们走吧！一起去抓独角仙！

<选择>
11. 老师: ………好，我们走！

枫: ？？？

12. 老师: 看到你一如既往的样子，我就放心了。

枫: ？？？

</选择>

旁白: （我跟著老样子充满元气又开朗的枫，一起出门去抓昆虫）
